timestamp,temperature,voltage,current,angular_velocity,mode
2026-09-07T08:00:00,23.94,28.24,1.44,0.033,standby
2026-09-07T08:01:00,24.11,28.13,1.48,0.022,standby
2026-09-07T08:02:00,24.23,28.23,1.48,0.039,standby
2026-09-07T08:03:00,24.79,28.22,1.41,0.013,standby
2026-09-07T08:04:00,24.77,28.29,1.48,0.024,standby
2026-09-07T08:05:00,25.06,28.08,1.46,0.031,standby
2026-09-07T08:06:00,25.37,28.16,1.53,0.028,standby
2026-09-07T08:07:00,25.48,28.08,1.55,0.007,standby
2026-09-07T08:08:00,24.1,28.11,1.44,0.036,standby
2026-09-07T08:09:00,25.72,28.05,1.58,0.013,standby
2026-09-07T08:10:00,25.52,28.11,1.53,0.035,standby
2026-09-07T08:11:00,25.98,28.14,1.58,0.031,standby
2026-09-07T08:12:00,25.54,28.06,1.5,0.031,standby
2026-09-07T08:13:00,25.83,28.26,1.47,0.012,standby
2026-09-07T08:14:00,26.39,28.19,1.59,0.035,standby
2026-09-07T08:15:00,26.79,28.08,1.44,0.019,standby
2026-09-07T08:16:00,26.68,27.98,1.56,0.028,standby
2026-09-07T08:17:00,26.19,28.12,1.6,0.053,standby
2026-09-07T08:18:00,26.69,28.02,1.52,0.015,standby
2026-09-07T08:19:00,26.91,28.02,1.56,0.034,standby
2026-09-07T08:20:00,26.21,28.04,1.42,0.012,standby
2026-09-07T08:21:00,26.33,28.08,1.66,0.025,standby
2026-09-07T08:22:00,26.74,28.06,1.66,0.036,standby
2026-09-07T08:23:00,26.78,27.98,1.64,0.03,standby
2026-09-07T08:24:00,27.23,28.05,1.73,0.021,standby
2026-09-07T08:25:00,27.4,28.06,1.53,0.011,standby
2026-09-07T08:26:00,26.61,28.15,1.63,0.033,standby
2026-09-07T08:27:00,25.6,28.1,1.61,0.018,standby
2026-09-07T08:28:00,26.37,28.06,1.7,0.012,standby
2026-09-07T08:29:00,26.43,28.16,1.53,0.021,standby
2026-09-07T08:30:00,26.63,27.98,1.58,0.01,standby
2026-09-07T08:31:00,26.93,28.07,1.74,0.028,standby
2026-09-07T08:32:00,27.09,27.99,1.54,0.029,standby
2026-09-07T08:33:00,27.19,27.97,1.63,0.032,standby
2026-09-07T08:34:00,27.02,28.14,1.55,0.019,standby
2026-09-07T08:35:00,25.69,28.11,1.52,0.049,standby
2026-09-07T08:36:00,25.88,28.13,1.41,0.02,standby
2026-09-07T08:37:00,26.18,28.18,1.64,0.024,standby
2026-09-07T08:38:00,25.45,28.16,1.56,0.031,standby
2026-09-07T08:39:00,25.53,28.22,1.52,0.033,standby
2026-09-07T08:40:00,26.3,28.19,1.53,0.051,standby
2026-09-07T08:41:00,25.72,28.14,1.51,0.043,standby
2026-09-07T08:42:00,25.54,28.21,1.59,0.019,standby
2026-09-07T08:43:00,24.57,28.21,1.51,0.018,standby
2026-09-07T08:44:00,25.61,28.24,1.4,0.031,standby
2026-09-07T08:45:00,24.99,28.11,1.51,0.024,standby
2026-09-07T08:46:00,24.61,28.26,1.5,0.018,standby
2026-09-07T08:47:00,24.98,28.31,1.4,0.03,standby
2026-09-07T08:48:00,24.66,28.41,1.3,0.033,standby
2026-09-07T08:49:00,24.38,28.26,1.59,0.025,standby
2026-09-07T08:50:00,25.39,28.25,1.46,0.019,standby
2026-09-07T08:51:00,23.93,28.29,1.4,0.027,standby
2026-09-07T08:52:00,23.15,28.44,1.41,0.046,standby
2026-09-07T08:53:00,23.51,28.33,1.66,0.015,standby
2026-09-07T08:54:00,23.16,28.29,1.44,0.033,standby
2026-09-07T08:55:00,33.74,27.58,4.1,0.028,imaging
2026-09-07T08:56:00,33.76,27.64,4.06,0.034,imaging
2026-09-07T08:57:00,33.9,27.77,4.44,0.04,imaging
2026-09-07T08:58:00,32.5,27.53,4.38,0.043,imaging
2026-09-07T08:59:00,33.57,27.56,4.24,0.023,imaging
2026-09-07T09:00:00,32.68,27.65,4.09,0.03,imaging
2026-09-07T09:01:00,33.64,27.72,4.45,0.051,imaging
2026-09-07T09:02:00,33.26,27.53,4.36,0.059,imaging
2026-09-07T09:03:00,34.12,27.63,4.95,0.034,imaging
2026-09-07T09:04:00,34.01,27.61,4.47,0.072,imaging
2026-09-07T09:05:00,34.61,27.47,4.47,0.042,imaging
2026-09-07T09:06:00,34.32,27.47,4.23,0.004,imaging
2026-09-07T09:07:00,33.98,27.57,4.62,0.023,imaging
2026-09-07T09:08:00,33.48,27.41,4.65,0.041,imaging
2026-09-07T09:09:00,34.84,27.63,4.6,0.057,imaging
2026-09-07T09:10:00,34.37,27.5,4.58,0.026,imaging
2026-09-07T09:11:00,33.41,27.56,4.72,0.029,imaging
2026-09-07T09:12:00,59.32,27.57,5.65,0.036,imaging
2026-09-07T09:13:00,60.42,27.53,5.26,0.033,imaging
2026-09-07T09:14:00,61.53,27.6,5.61,0.024,imaging
2026-09-07T09:15:00,62.9,27.54,5.56,0.023,imaging
2026-09-07T09:16:00,63.1,27.36,5.61,0.028,imaging
2026-09-07T09:17:00,64.27,27.53,5.28,0.016,imaging
2026-09-07T09:18:00,65.17,27.64,5.85,0.002,imaging
2026-09-07T09:19:00,66.5,27.61,5.66,0.017,imaging
2026-09-07T09:20:00,66.74,27.32,5.7,0.023,imaging
2026-09-07T09:21:00,68.23,27.56,5.5,0.04,imaging
2026-09-07T09:22:00,36.52,27.46,5.06,0.024,imaging
2026-09-07T09:23:00,37.6,27.44,4.94,0.063,imaging
2026-09-07T09:24:00,37.95,27.4,5.02,0.022,imaging
2026-09-07T09:25:00,38.48,27.39,5.21,0.032,imaging
2026-09-07T09:26:00,38.42,27.38,5.29,0.032,imaging
2026-09-07T09:27:00,38.83,27.43,5.2,0.021,imaging
2026-09-07T09:28:00,38.16,27.3,5.12,0.049,imaging
2026-09-07T09:29:00,38.95,27.47,5.62,0.035,imaging
2026-09-07T09:30:00,38.43,27.3,5.33,0.011,imaging
2026-09-07T09:31:00,39.46,27.34,5.31,0.023,imaging
2026-09-07T09:32:00,39.49,27.45,5.39,0.022,imaging
2026-09-07T09:33:00,40.02,27.36,5.36,0.043,imaging
2026-09-07T09:34:00,40.94,27.33,5.69,0.026,imaging
2026-09-07T09:35:00,31.09,27.8,3.18,0.047,downlink
2026-09-07T09:36:00,31.06,27.85,3.11,0.038,downlink
2026-09-07T09:37:00,30.46,27.76,3.19,0.033,downlink
2026-09-07T09:38:00,29.84,27.86,3.31,0.022,downlink
2026-09-07T09:39:00,31.54,27.86,3.23,0.021,downlink
2026-09-07T09:40:00,31.49,27.68,3.28,0.021,downlink
2026-09-07T09:41:00,31.3,27.81,3.34,0.046,downlink
2026-09-07T09:42:00,31.49,27.76,3.21,0.04,downlink
2026-09-07T09:43:00,31.76,27.89,3.28,0.03,downlink
2026-09-07T09:44:00,31.57,27.75,3.39,0.006,downlink
2026-09-07T09:45:00,32.12,27.8,3.54,0.061,downlink
2026-09-07T09:46:00,31.64,27.74,3.42,0.057,downlink
2026-09-07T09:47:00,31.03,27.77,3.26,0.006,downlink
2026-09-07T09:48:00,30.97,27.61,3.58,0.018,downlink
2026-09-07T09:49:00,31.95,27.62,3.53,0.015,downlink
2026-09-07T09:50:00,32.8,27.63,3.38,0.032,downlink
2026-09-07T09:51:00,32.22,27.81,3.5,0.013,downlink
2026-09-07T09:52:00,31.99,27.65,3.58,0.035,downlink
2026-09-07T09:53:00,32.26,27.76,3.44,0.028,downlink
